Timestamp,Violation_Type,Evidence_Ref
2026-02-15T23:57:57,Multiple Persons Detected,evidence/screenshots/SCR_235756.png
2026-02-15T23:58:35,Multiple Persons Detected,evidence/screenshots/SCR_235835.png
2026-02-16T00:11:07,Paper / Notes Detected,evidence/screenshots/SCR_001107.png
2026-02-16T00:11:51,Paper / Notes Detected,evidence/screenshots/SCR_001150.png
2026-02-16T00:12:09,Paper / Notes Detected,evidence/screenshots/SCR_001209.png
2026-02-16T00:12:35,Paper / Notes Detected,evidence/screenshots/SCR_001235.png
2026-02-16T00:15:09,Paper / Notes Detected,evidence/screenshots/SCR_001509.png
2026-02-16T00:19:45,Paper / Notes Detected,evidence/screenshots/SCR_001945.png
2026-02-16T00:20:27,Paper / Notes Detected,evidence/screenshots/SCR_002027.png
2026-02-16T20:08:47.218,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_200847_110.png
2026-02-16T20:08:50.852,Multiple Persons Detected,MEDIUM,evidence/screenshots/SCR_20260216_200850_745.png
2026-02-16T20:11:10.634,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_201110_529.png
2026-02-16T20:11:21.332,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_201121_204.png
2026-02-16T20:11:39.052,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_201138_929.png
2026-02-16T20:11:56.982,Multiple Persons Detected,MEDIUM,evidence/screenshots/SCR_20260216_201156_869.png
2026-02-16T20:21:00.140,Multiple Persons Detected,MEDIUM,evidence/screenshots/SCR_20260216_202100_035.png
2026-02-16T20:21:03.864,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_202103_737.png
2026-02-16T20:21:32.558,Multiple Persons Detected,MEDIUM,evidence/screenshots/SCR_20260216_202132_450.png
2026-02-16T20:21:36.232,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_202136_145.png
2026-02-16T20:21:39.815,Paper / Notes Detected,MEDIUM,evidence/screenshots/SCR_20260216_202139_732.png
2026-02-16T20:21:43.451,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_202143_359.png
2026-02-16T20:22:33.563,Paper / Notes Detected,MEDIUM,evidence/screenshots/SCR_20260216_202233_469.png
2026-02-16T20:22:37.224,Multiple Persons Detected,MEDIUM,evidence/screenshots/SCR_20260216_202237_121.png
2026-02-16T20:27:07.190,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_202707_112.png
2026-02-16T20:27:23.221,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_202723_117.png
2026-02-16T20:27:30.413,Multiple Persons Detected,MEDIUM,evidence/screenshots/SCR_20260216_202730_290.png
2026-02-16T20:27:41.158,Paper / Notes Detected,MEDIUM,evidence/screenshots/SCR_20260216_202741_073.png
2026-02-16T20:27:44.807,Talking Detected,MEDIUM,evidence/screenshots/SCR_20260216_202744_674.png
